data,cotacao,log_retorno
2023-08-31,4.9219,0.011566256127625962
2023-09-01,4.9318,0.0020093981613173995
2023-09-04,4.9176,-0.00288342636879535
2023-09-05,4.9705,0.01069983205940006
2023-09-06,4.9762,0.0011461088851465462
2023-09-08,4.9835,0.001465907870164651
2023-09-11,4.9366,-0.009455620293887579
2023-09-12,4.9505,0.0028117464489458843
2023-09-13,4.9171,-0.006769655753205983
2023-09-14,4.8751,-0.008578308767288156
2023-09-15,4.8689,-0.00127257816845594
2023-09-18,4.8535,-0.0031679447213381895
2023-09-19,4.8575,0.0008238080993141494
2023-09-20,4.8487,-0.001813274486652583
2023-09-21,4.9229,0.015187159969562103
2023-09-22,4.9131,-0.0019926806105734496
2023-09-25,4.9606,0.00962159402097007
2023-09-26,4.9717,0.002235132773100279
2023-09-27,5.0289,0.011439438387340184
2023-09-28,5.0475,0.003691798881650721
2023-09-29,5.0076,-0.007936312801485323
2023-10-02,5.0679,0.011969772211285035
2023-10-03,5.11,0.008272873600957853
2023-10-04,5.1526,0.008302037432872611
2023-10-05,5.1713,0.003622665940411718
2023-10-06,5.1918,0.003956350269713749
2023-10-09,5.1666,-0.004865625910573712
2023-10-10,5.0862,-0.015683842087759636
2023-10-11,5.0496,-0.007221957630914488
2023-10-13,5.0625,0.0025514002032942518
2023-10-16,5.0618,-0.00013828116533787238
2023-10-17,5.0384,-0.004633579902696416
2023-10-18,5.0568,0.0036453008113286334
2023-10-19,5.054,-0.0005538632099493235
2023-10-20,5.0528,-0.00023746388681655795
2023-10-23,5.0164,-0.00723000011142827
2023-10-24,5.0065,-0.001975476802037246
2023-10-25,4.9981,-0.00167922794991604
2023-10-26,5.0055,0.0014794676615967894
2023-10-27,4.948,-0.011553853347159748
2023-10-30,5.0074,0.011933363783258155
2023-10-31,5.0575,0.009955471746263767
2023-11-01,5.0194,-0.007561885411789149
2023-11-03,4.891,-0.02591362309075418
2023-11-06,4.8999,0.0018180151878461892
2023-11-07,4.867,-0.006737065893749117
2023-11-08,4.8855,0.003793903550943778
2023-11-09,4.9007,0.0031064176540671617
2023-11-10,4.9219,0.004316582761812571
2023-11-13,4.9247,0.0005687242450125307
2023-11-14,4.8682,-0.011539100147476278
2023-11-16,4.8575,-0.0022003566462187596
2023-11-17,4.8849,0.005624912186689146
2023-11-20,4.8723,-0.0025827095896175933
2023-11-21,4.8806,0.0017020582603657353
2023-11-22,4.8968,0.0033137674278276297
2023-11-23,4.8931,-0.0007558810970835772
2023-11-24,4.8927,-8.17511087949363e-05
2023-11-27,4.8951,0.0004904064341528791
2023-11-28,4.8867,-0.0017174757334654789
2023-11-29,4.8933,0.0013496934564254381
2023-11-30,4.9355,0.008587062369848297
2023-12-01,4.9191,-0.0033283979340101855
2023-12-04,4.9091,-0.0020349613257546473
2023-12-05,4.9522,0.008741296672824639
2023-12-06,4.9031,-0.009964264151641533
2023-12-07,4.8949,-0.0016738113726184611
2023-12-08,4.9158,0.00426066062908137
2023-12-11,4.944,0.005720212761702648
2023-12-12,4.9476,0.0007278903633280986
2023-12-13,4.958,0.00209982309428125
2023-12-14,4.8912,-0.013564761458565888
2023-12-15,4.9397,0.00986692845639392
2023-12-18,4.9399,4.048746913376533e-05
2023-12-19,4.8663,-0.015011193337919115
2023-12-20,4.8766,0.002114360988452635
2023-12-21,4.8755,-0.00022559243745767787
2023-12-22,4.8619,-0.0027933552782486437
2023-12-26,4.8368,-0.005175962971731174
2023-12-27,4.8306,-0.0012826614912038181
2023-12-28,4.8413,0.002212596152819657
2023-12-29,4.8413,0.0
2024-01-02,4.8916,0.010336168628405362
2024-01-03,4.9212,0.006032954870798912
2024-01-04,4.9188,-0.00048780488772171005
2024-01-05,4.8899,-0.005892744936226935
2024-01-08,4.885,-0.0010025678851821596
2024-01-09,4.8937,0.0017793780963697436
2024-01-10,4.8901,-0.0007359104156807739
2024-01-11,4.8794,-0.0021904916891228865
2024-01-12,4.8543,-0.00515735139457707
2024-01-15,4.8765,0.004562839338197566
2024-01-16,4.9038,0.0055826653380695035
2024-01-17,4.9346,0.006261201134339256
2024-01-18,4.9403,0.0011544421985134612
2024-01-19,4.9223,-0.0036501571564224733
2024-01-22,4.949,0.00540963502531655
2024-01-23,4.9715,0.004536069468242365
2024-01-24,4.9192,-0.010575689780868425
2024-01-25,4.9232,0.0008128099285173995
2024-01-26,4.9125,-0.00217574839026069
2024-01-29,4.9225,0.0020335543357641317
2024-01-30,4.9638,0.008355044910911547
2024-01-31,4.9535,-0.0020771790111073773
2024-02-01,4.935,-0.0037417245455029224
2024-02-02,4.9471,0.002448873427096432
2024-02-05,5.0053,0.011695804718248937
2024-02-06,4.9687,-0.007339114553998272
2024-02-07,4.9608,-0.0015912184232609317
2024-02-08,4.9804,0.0039431910425893335
2024-02-09,4.9717,-0.0017483751602558328
2024-02-14,4.9723,0.00012067578453889283
2024-02-15,4.971,-0.00026148260786795774
2024-02-16,4.9761,0.001025424585433976
2024-02-19,4.9585,-0.003543176053926844
2024-02-20,4.9408,-0.0035760142357772473
2024-02-21,4.9303,-0.002127423278092344
2024-02-22,4.9419,0.002350034508736387
2024-02-23,4.9851,0.008703590754231216
2024-02-26,4.9819,-0.0006421190147389844
2024-02-27,4.9575,-0.0049097629665877385
2024-02-28,4.9557,-0.0003631521647462499
2024-02-29,4.9833,0.005553892935936
2024-03-01,4.9596,-0.004767229859453659
2024-03-04,4.9475,-0.002442693828966336
2024-03-05,4.9488,0.0002627244540844842
2024-03-06,4.9398,-0.0018202783983698456
2024-03-07,4.9364,-0.0006885239534069054
2024-03-08,4.9751,0.007809150314164848
2024-03-11,4.9777,0.0005224660515921187
2024-03-12,4.9813,0.0007229641845172274
2024-03-13,4.9803,-0.00020077096116266624
2024-03-14,4.9768,-0.0007030159673300229
2024-03-15,4.9937,0.0033900037480045775
2024-03-18,5.0124,0.0037377243423155626
2024-03-19,5.0352,0.004538405019012259
2024-03-20,5.012,-0.004618210294183633
2024-03-21,4.9807,-0.006264593626211568
2024-03-22,4.9897,0.0018053443080421339
2024-03-25,4.9869,-0.0005613134882658244
2024-03-26,4.987,2.0052336599185594e-05
2024-03-27,4.9856,-0.0002807693097481856
2024-03-28,4.9962,0.0021238662334541747
2024-04-01,5.0532,0.011344082486053786
2024-04-02,5.0476,-0.0011088231771267942
2024-04-03,5.0724,0.004901195581988871
2024-04-04,5.0237,-0.009647364371420775
2024-04-05,5.052,0.005617490481057974
2024-04-08,5.0421,-0.001961542519751225
2024-04-09,5.008,-0.006786028170695957
2024-04-10,5.0654,0.011396474131114331
2024-04-11,5.0765,0.002188939830228609
2024-04-12,5.1364,0.011730397215841348
2024-04-15,5.1746,0.007409596503072491
2024-04-16,5.2635,0.017034163231188115
2024-04-17,5.2469,-0.003158778695907971
